priority_rank,account_id,customer_name,contract_value,renewal_date,days_to_renewal,risk_reason,owner,founder_action,due_timing,expected_leverage
1,A006,Halcyon Robotics,96000.0,2026-06-05,28,High-value account; Critical retention risk; Critical customer health; Renewal in 28 days; cancellation threat,Chris Nolan,Founder or executive sponsor call to reset value and renewal path.,Today,"Protects $96,000 in renewal or retention risk."
2,A025,Stonebridge Procurement,99000.0,2026-09-30,145,High-value account; Critical retention risk; Critical customer health; cancellation threat; churn risk,Rohan Mehta,Founder or executive sponsor call to reset value and renewal path.,Today,"Protects $99,000 in renewal or retention risk."
3,A012,Silverline Insurance,142000.0,2026-05-20,12,High-value account; Critical retention risk; Critical customer health; Renewal in 12 days; competitive evaluation,Marcus King,Founder or executive sponsor call to reset value and renewal path.,Today,"Protects $142,000 in renewal or retention risk."
4,A021,Terrace Construction Tech,59000.0,2026-07-05,58,Critical retention risk; At risk customer health; Renewal in 58 days; usage concern; renewal risk,Kavya Nair,Founder or executive sponsor call to reset value and renewal path.,Today,"Protects $59,000 in renewal or retention risk."
5,A003,Atlas Freight Works,152000.0,2026-07-10,63,High-value account; Critical retention risk; Critical customer health; Renewal in 63 days; churn risk,Jordan Miles,Founder or executive sponsor call to reset value and renewal path.,Today,"Protects $152,000 in renewal or retention risk."
6,A019,Orchid Payments,121000.0,2026-05-25,17,High-value account; At risk retention risk; At risk customer health; Renewal in 17 days; budget concern,Rina Joseph,Review customer health and assign the highest leverage owner action.,This week,"Protects $121,000 in renewal or retention risk."
7,A002,Beacon Clinic Group,128000.0,2026-05-28,20,High-value account; At risk retention risk; At risk customer health; Renewal in 20 days; usage concern,Amara Hill,Review customer health and assign the highest leverage owner action.,This week,"Protects $128,000 in renewal or retention risk."
8,A016,Marigold Marketplace,71000.0,2026-06-18,41,At risk retention risk; Renewal in 41 days; usage concern; unclear value proof; new evaluator,Sam Lee,Review customer health and assign the highest leverage owner action.,This week,"Protects $71,000 in renewal or retention risk."
9,A009,Quartz Retail Systems,47000.0,2026-06-25,48,At risk retention risk; At risk customer health; Renewal in 48 days; usage concern; unclear value proof,Anika Mehta,Review customer health and assign the highest leverage owner action.,This week,"Protects $47,000 in renewal or retention risk."
10,A023,Granite Wealth Partners,105000.0,2026-06-30,53,High-value account; Renewal in 53 days; watch; watch; reporting gap,Peter Nolan,Review customer health and assign the highest leverage owner action.,Next 2 weeks,Keeps customer health visible before renewal risk grows.
11,A008,Evergreen Energy Labs,175000.0,2026-08-01,85,High-value account; Renewal in 85 days; watch; watch; integration gap,Omar Nasser,Review customer health and assign the highest leverage owner action.,Next 2 weeks,Keeps customer health visible before renewal risk grows.
12,A015,Cedar Security,134000.0,2026-08-18,102,High-value account; watch; watch; data export gap,Nadia Singh,Review customer health and assign the highest leverage owner action.,Next 2 weeks,Keeps customer health visible before renewal risk grows.
13,A018,Riverbend Logistics,52000.0,2026-09-01,116,watch; watch; mobile gap,Isha Jain,Review customer health and assign the highest leverage owner action.,Next 2 weeks,Keeps customer health visible before renewal risk grows.
14,A001,Northstar Analytics,84000.0,2026-06-15,38,High-value account; Renewal in 38 days; expansion potential; Expansion-ready,Ivan Chen,Review expansion motion and approve customer-facing ask.,Next review,"Can turn $84,000 account into expansion pipeline."
15,A013,BluePeak Manufacturing,62000.0,2026-07-22,75,Renewal in 75 days; Expansion-ready,Farah Khan,Review expansion motion and approve customer-facing ask.,Next review,"Can turn $62,000 account into expansion pipeline."
